Date,Close,RSI
2025-09-24,252.31,
2025-09-25,256.87,
2025-09-26,255.46,
2025-09-29,254.43,
2025-09-30,254.63,
2025-10-01,255.45,
2025-10-02,257.13,
2025-10-03,258.02,
2025-10-06,256.69,
2025-10-07,256.48,
2025-10-08,258.06,
2025-10-09,254.04,
2025-10-10,245.27,
2025-10-13,247.66,41.95223260643818
2025-10-14,247.77,42.17241379310343
2025-10-15,249.34,35.52479815455588
2025-10-16,247.45,34.88108720271792
2025-10-17,252.29,46.468646864686434
2025-10-20,262.24,59.500624219725374
2025-10-21,262.77,59.20523138832999
2025-10-22,258.45,51.5566037735849
2025-10-23,259.58,51.82926829268293
2025-10-24,262.82,56.87991021324355
2025-10-27,268.81,62.249155573216754
2025-10-28,269.0,61.17695136902329
2025-10-29,269.7,67.1635247698378
2025-10-30,271.4,83.89105058365756
2025-10-31,270.37,80.53240118311378
2025-11-03,269.05,77.70833333333337
2025-11-04,270.04,77.36647276573247
2025-11-05,270.14,81.48764918123793
2025-11-06,269.77,77.69328263624848
2025-11-07,268.47,63.5966826713227
2025-11-10,269.43,64.26735218509012
2025-11-11,275.25,83.81642512077316
2025-11-12,273.47,77.24597881522192
2025-11-13,272.95,72.24418093983323
2025-11-14,272.41,60.392609699769224
2025-11-17,267.46,46.51268115942022
2025-11-18,267.44,44.71962616822429
2025-11-19,268.56,43.1796349663785
2025-11-20,266.25,40.678733031674156
2025-11-21,271.49,54.688700999231365
2025-11-24,275.92,59.97963340122202
2025-11-25,276.97,61.229858599145096
2025-11-26,277.55,62.70411495754416
2025-11-28,278.85,66.94970607446112
2025-12-01,283.1,70.15629607785314
2025-12-02,286.19,67.54329698524694
2025-12-03,284.15,66.98473282442737
2025-12-04,280.7,61.27436718068083
2025-12-05,278.78,58.90909090909082
2025-12-08,277.89,66.45629536131273
2025-12-09,277.18,65.04014823965413
2025-12-10,278.78,65.55082166768105
2025-12-11,278.03,68.8178913738019
2025-12-12,278.28,62.90383884454575
2025-12-15,274.11,46.52591170825334
2025-12-16,274.61,45.372549019607796
2025-12-17,271.84,39.689418562657906
2025-12-18,272.19,37.54674644726993
2025-12-19,273.67,30.329578639966584
2025-12-22,270.97,17.726887192536083
2025-12-23,272.36,24.291321412996098
2025-12-24,273.81,33.54037267080744
2025-12-26,273.4,36.14830072090626
2025-12-29,273.76,39.068290100582324
2025-12-30,273.08,39.130434782608646
2025-12-31,271.86,31.277056277056403
2026-01-02,271.01,31.108719052744974
2026-01-05,267.26,25.04528985507254
2026-01-06,262.36,24.243752740026366
2026-01-07,260.33,20.665571076417464
2026-01-08,259.04,22.003499562554794
2026-01-09,259.37,21.935201401050776
2026-01-12,260.25,19.82913669064739
2026-01-13,261.05,25.614552605702983
2026-01-14,259.96,19.061876247504927
2026-01-15,258.21,11.651917404129804
2026-01-16,255.53,10.482087571870878
2026-01-20,246.7,6.467181467181433
2026-01-21,247.65,9.441786283891588
2026-01-22,248.35,11.871553681479057
2026-01-23,248.04,12.083195774182883
2026-01-26,255.41,32.52727808905928
2026-01-27,258.27,43.58330718544081
2026-01-28,256.44,43.85854120618884
2026-01-29,258.28,48.820608317814944
2026-01-30,259.48,50.16621335750985
2026-02-02,270.01,61.41787552643891
2026-02-03,269.48,59.92465269602073
2026-02-04,276.49,67.07997520148797
2026-02-05,275.91,68.74205844980949
2026-02-06,278.12,74.16042780748668
2026-02-09,274.62,83.703524867214
2026-02-10,273.68,81.42960637527176
2026-02-11,275.5,81.91864566188582
2026-02-12,261.73,62.22539739239155
2026-02-13,255.78,50.33901411031703
2026-02-17,263.88,54.68985119545228
